Doctor Name,Doctor Profile URL,Doctor Image,Experience (Years),Specialties,Rating (Max 5),Consultation Fee (BDT)
Dr. Nusrat Razia,https://doctime.com.bd/doctors/dr-nusrat-razia-106027,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/131224/profile_photos/rnPBgFR9KS1Py444c1FcRx8UBNX1dgiUh0nMhCfz.jpg,10,General Physician,5,400
Dr. A K M KAMRUL HASAN,https://doctime.com.bd/doctors/dr-a-k-m-kamrul-hasan-485193,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/583485/profile_photos/jJFNHRMui3HF2L21E32fESN1lyOuyBDDJlYxJazd.png,10,General Physician,5,450
Dr. Monzur Hussain Chowdhury,https://doctime.com.bd/doctors/dr-monzur-hussain-chowdhury-58874,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/70614/profile_photos/zUj1kVQwQGJgzyUDXy6DtFNYxZq9ZbY9koLhBtYf.jpg,7,General Physician,4.8,365
Dr. Rokunuzzaman Pavel,https://doctime.com.bd/doctors/dr-rokunuzzaman-pavel-203548,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/254373/profile_photos/9MEIt50qdm2MkUR5mIB73sFL7CjD5S9NNlDJvRRx.jpg,9,General Physician,4.8,450
Dr. Masuma Jahan,https://doctime.com.bd/doctors/dr-masuma-jahan-149947,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/188407/profile_photos/7ars1xoddNSIO8xArEJzKsjXyeG0Et2XxZDBtzmy.jpg,2,"General Physician,Internal Medicine",4.9,250
Dr. Rawnak Jahan,https://doctime.com.bd/doctors/dr-rawnak-jahan-433223,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/516901/profile_photos/ocO2Obhelf5fjHixwrA2GIOfMtrX9f0kwXbqbbm1.jpg,4,General Physician,5,550
Dr. Md. Maroful Hassan,https://doctime.com.bd/doctors/dr-md-maroful-hassan-335308,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/402374/profile_photos/q0dh4aCCL0y8fyXVxWL9k3LDQbu3uqufR8qmLHyE.jpg,4,General Physician,5,300
Dr. Md.Anwarul Haque,https://doctime.com.bd/doctors/dr-mdanwarul-haque-16706358,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16829540/profile_photos/EwKjGuIGWO67AlEeA29bLqDxWU10SRDZ4SpDoRrN.jpg,4,General Physician,5,450
Dr. Zakir Hossen,https://doctime.com.bd/doctors/dr-zakir-hossen-14905928,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/15000839/profile_photos/K20Wfs9CMQdH5ktWRVTYfDvQXRjWmGILxb0NlCpc.jpg,10,"General Physician,Internal Medicine",5,550
Dr. Md.Salauddin Miah,https://doctime.com.bd/doctors/dr-mdsalauddin-miah-5483401,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/5540559/profile_photos/ekqHOz7jxLPplougEy4STpiFMz1jtZndyRHVUpbn.png,,"General Physician,Child Specialist",5,350
Dr. Mehedi Tonmoy,https://doctime.com.bd/doctors/dr-mehedi-tonmoy-13493757,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/13578079/profile_photos/tqhxetIOca5HFasmPAAN8j4YWF2SCdVMOhUTAhgc.png,10,General Physician,5,350
Dr. Nawrin Ahmed Dristy,https://doctime.com.bd/doctors/dr-nawrin-ahmed-dristy-268123,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/328121/profile_photos/cX72cDVf7pXvbYZKnpG1xIEhtNKBjkRsk07Da0ov.jpg,3,General Physician,5,600
Dr. A. S. M. ASHEQUZZAMAN MAZUMDER,https://doctime.com.bd/doctors/dr-a-s-m-ashequzzaman-mazumder-1527033,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/1645211/profile_photos/FNdjfKAdL5rogcYaxcht3SZsRBQtH169UmtpVjib.jpg,11,General Physician,5,450
Dr. Muhammad Zubayer khan,https://doctime.com.bd/doctors/dr-muhammad-zubayer-khan-23464,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/27764/profile_photos/jiC507hkLqR8ZKYR9QCfZfgBk73Y3NOsYCGOS5e0.jpg,6,General Physician,4.9,260
Dr. Muhammad Ayaaz Ibrahim,https://doctime.com.bd/doctors/dr-muhammad-ayaaz-ibrahim-16079566,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16184814/profile_photos/CuhPMs3z4JcnPewx46TYOfzWbdB2l5il7TsQCsUc.jpg,8,"General Physician,Psychiatrist",4.9,600
Dr. Wobaidur Rahman Eyamin,https://doctime.com.bd/doctors/dr-wobaidur-rahman-eyamin-14380346,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/14471344/profile_photos/ueHouNgGzrZMe1gbk7sGAGy2f8k3kWdzJLIXHH3D.png,9,General Physician,5,400
Dr. Abdullah Al Noman Noman,https://doctime.com.bd/doctors/dr-abdullah-al-noman-noman-279938,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/341128/profile_photos/HBMHWRZ22wqeyYfHEThOnCXa1sRdjYL9vXCmG4Ki.jpg,6,General Physician,5,350
Dr. Atashi Irtiza,https://doctime.com.bd/doctors/dr-atashi-irtiza-44644,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/53052/profile_photos/6WxrnAsCwDq9wEgkkQV76NeEFL78DjvXpmzEfVG4.jpg,5,"General Physician,Ophthalmologist",4.8,321
Dr. Jaitun Neher,https://doctime.com.bd/doctors/dr-jaitun-neher-16481610,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16596746/profile_photos/IVMB9Dy16TtOkx1HhJrMoG3Kl5c4qo6CgTzLgeNT.jpg,12,General Physician,5,550
Dr. Maj. Lutfor Rahman,https://doctime.com.bd/doctors/dr-maj-lutfor-rahman-150717,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/189419/profile_photos/polTmKCNDa1wBVNU7OxEEbjr4ZAAUGUSyU2TSqNe.jpg,38,General Physician,4.8,680
Dr. Taz-Nur Farzana,https://doctime.com.bd/doctors/dr-taznur-farzana-481075,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/578228/profile_photos/hbEVDibLUopAX6bBPifDmwTttKcOkRDgDTHQ67JY.png,8,General Physician,5,500
Dr. Habizar Rahman,https://doctime.com.bd/doctors/dr-habizar-rahman-391993,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/466807/profile_photos/XhTdfW7oxpXQZgcjUYRTrpaBQgIL0Ap5usk3mPEk.jpg,9,General Physician,5,313
Dr. Md. Ariful Islam,https://doctime.com.bd/doctors/dr-md-ariful-islam-304015,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/368032/profile_photos/3l0Vy5D0clWLQRosXjLtc6gCFFWlXddI15OY3xOc.jpg,5,General Physician,5,250
Dr. Tapushe Rabeya,https://doctime.com.bd/doctors/dr-tapushe-rabeya-15224725,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/15322338/profile_photos/NfoFYTZhpGSYEKD7PZyprOImbbJkHlaCC7674HOq.jpg,6,"General Physician,Child Specialist",5,250
Dr. Sadia Tasnim,https://doctime.com.bd/doctors/dr-sadia-tasnim-12234075,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/12310500/profile_photos/ST64motYtD9E462fPQfV3xb9uMODQusAbuqEIKYK.jpg,7,General Physician,5,300
Dr. Istiaque Ahmed Khan,https://doctime.com.bd/doctors/dr-istiaque-ahmed-khan-103175,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/127366/profile_photos/wfMVBfVfOn6QwmepHrrg42E2z0YnspM0jCMPi7Ue.jpg,5,General Physician,5,250
