Doctor Name,Doctor Profile URL,Doctor Image,Experience (Years),Specialties,Rating (Max 5),Consultation Fee (BDT)
Dr. Fatema Yesmin,https://doctime.com.bd/doctors/dr-fatema-yesmin-457991,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/547254/profile_photos/SJymMytK6JlXTqBWvoIxUgHKfIw1oj9gUUcWcEZi.jpg,6,"General Physician,Gynae & Obs",5,450
Dr. Shafiqul Islam,https://doctime.com.bd/doctors/dr-shafiqul-islam-95683,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/117330/profile_photos/LOkRcR3DLszlx2kHLMWy1PzVHbwcJNzpZvH4KOQ5.png,12,"Ophthalmologist,General Physician",4.8,400
Asst. Prof. Dr. Mohammed Zubayer Miah,https://doctime.com.bd/doctors/asst-prof-dr-mohammed-zubayer-miah-11772048,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/11845652/profile_photos/ytPaVUbon3lTlUKjSOhRt7uyPX7ILOVM7q96ouSD.png,22,"Psychiatrist,General Physician",5,1050
Dr. Md. Kaiser Mahmud,https://doctime.com.bd/doctors/dr-md-kaiser-mahmud-1466199,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/1584952/profile_photos/Xm0fxCt67pTCOXVxzyOiowRo6ePGxRy0G193wAic.jpg,4,"General Physician,Orthopedics",5,350
Dr. Ripon Kumar Ghosh,https://doctime.com.bd/doctors/dr-ripon-kumar-ghosh-222468,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/277045/profile_photos/x6w02PVYWHYGkAmt0uLQ3r3MdLCpbo2sibolZz4x.jpg,10,"Orthopedist,General Physician",4.8,750
Dr. Miskat Aziz,https://doctime.com.bd/doctors/dr-miskat-aziz-532559,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/639481/profile_photos/R3farcfsTwtNB3Z6540JUfJDh780ShCLmzuYTxdI.png,12,General Physician,5,576
Assoc. Prof. Dr. H. M. Mahmud Harun,https://doctime.com.bd/doctors/assoc-prof-dr-h-m-mahmud-harun-16477935,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16593029/profile_photos/qKxgATh7fmDSReFY6xmqvcomSmmugNzN3WlDa0PU.jpg,13,"Psychiatrist,General Physician",5,1049
Dr. Md Imran Bahadur,https://doctime.com.bd/doctors/dr-md-imran-bahadur-261841,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/321072/profile_photos/1LsJrREHlaMZrMkAuLCvRMGJUgSIHgIdk2yEDdRI.jpg,10,"Internal Medicine,General Physician",5,250
Dr. Md Muhshiul Alam,https://doctime.com.bd/doctors/dr-md-muhshiul-alam-16318059,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/16426946/profile_photos/q8fRgIUPCmMMCX4RABdG6Elq6MPbhJHNycWdjpmJ.jpg,5,"General Physician,Gastroenterology,Internal Medicine",5,350
Dr. Nasrin Sultana,https://doctime.com.bd/doctors/dr-nasrin-sultana-13426475,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/13510358/profile_photos/3smzu4wDDseGm0kRKc7lX5eSNtf7ZWE54hGOstrU.png,7,"Gynae & Obs,General Physician",5,750
Dr. Muhammad Mujibur Rahman,https://doctime.com.bd/doctors/dr-muhammad-mujibur-rahman-7119531,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/7165797/profile_photos/Iu7dR52jfNpeSzNDbWt7olSiV6lz91Bo9nwV1gn7.png,36,General Physician,5,650
Dr. Asif hossain,https://doctime.com.bd/doctors/dr-asif-hossain-11822719,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/11896600/profile_photos/2rgdnORKnBKAXgEaupv5PKPa8Ky5abIq7gN7bp3w.png,6,"Physical Medicine & Rehabilitation Specialist,General Physician",5,310
Dr. Flora Tasmin Nahar,https://doctime.com.bd/doctors/dr-flora-tasmin-nahar-11272981,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/11343884/profile_photos/VlPiQFqMjQRICWodyPXOEosiudvFOjURLUPx2cte.png,15,"Gynae & Obs,General Physician",5,1100
Dr. Md. Azam Iqbal Khan,https://doctime.com.bd/doctors/dr-md-azam-iqbal-khan-573933,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/688768/profile_photos/eA3Re83zVaH35JZNE1jphEKltmqb6pQWwopU6TgC.jpg,7,"General Physician,Psychiatrist",5,400
Dr. Md. Sadiqur Rahman,https://doctime.com.bd/doctors/dr-md-sadiqur-rahman-69,https://doctime-core-ap-southeast-1.s3.ap-southeast-1.amazonaws.com/persons/68/profile_photos/2rqN4m2JF4SDS1tugTmzVHtlxBg4hEdrHfgACfhk.png,11,"Endocrinologist,General Physician",4.9,300
